Lifetime_Gross_Rank,Movie_Title,Lifetime_Gross,Domestic_Distributor,Budget,MPAA,Running_Time_Minutes,Genres
369.0,The Karate Kid ,359126000.0,Sony Pictures Releasing,40000000.0,PG,140.0,Action Drama Family Sport
370.0,Your Name. ,358923000.0,FUNimation Entertainment,,PG,106.0,Animation Drama Fantasy Romance
371.0,Hotel Transylvania ,358376000.0,Sony Pictures Releasing,85000000.0,PG,91.0,Animation Comedy Family Fantasy Horror
372.0,Minority Report ,358373000.0,Twentieth Century Fox,102000000.0,PG-13,145.0,Action Crime Mystery Sci-Fi Thriller
373.0,Top Gun ,356831000.0,Paramount Pictures,,,110.0,Action Drama
374.0,The Legend of Tarzan ,356700000.0,Warner Bros.,180000000.0,PG-13,110.0,Action Adventure Drama Fantasy Romance
375.0,American Beauty ,356297000.0,DreamWorks Distribution,15000000.0,R,122.0,Drama
376.0,Apollo 13 ,355238000.0,Universal Pictures,,PG,140.0,Adventure Drama History
377.0,Rain Man ,354825000.0,Metro-Goldwyn-Mayer (MGM),25000000.0,,133.0,Drama
378.0,The Great Gatsby ,353642000.0,Warner Bros.,105000000.0,PG-13,143.0,Drama Romance
379.0,Dumbo ,353285000.0,Walt Disney Studios Motion Pictures,170000000.0,PG,112.0,Adventure Family Fantasy
380.0,"I, Robot ",353134000.0,Twentieth Century Fox,120000000.0,PG-13,115.0,Action Crime Drama Sci-Fi Thriller
381.0,Basic Instinct ,352927000.0,TriStar Pictures,49000000.0,R,127.0,Drama Mystery Thriller
382.0,Murder on the Orient Express ,352790000.0,Twentieth Century Fox,55000000.0,PG-13,114.0,Crime Drama Mystery
383.0,X-Men: First Class ,352617000.0,Twentieth Century Fox,160000000.0,PG-13,131.0,Action Adventure Sci-Fi
384.0,The Angry Birds Movie ,352334000.0,Sony Pictures Releasing,73000000.0,PG,97.0,Action Animation Comedy Family Fantasy
385.0,GoldenEye ,352194000.0,Metro-Goldwyn-Mayer (MGM),,PG-13,130.0,Action Adventure Thriller
386.0,Catch Me If You Can ,352114000.0,DreamWorks Distribution,52000000.0,PG-13,141.0,Biography Crime Drama
387.0,Now You See Me ,351724000.0,Lionsgate,75000000.0,PG-13,115.0,Crime Mystery Thriller
388.0,Hannibal ,351692000.0,Metro-Goldwyn-Mayer (MGM),87000000.0,R,131.0,Crime Drama Thriller
389.0,The Mask ,351583000.0,New Line Cinema,23000000.0,PG-13,101.0,Comedy Crime Fantasy
390.0,Peter Rabbit ,351266000.0,Sony Pictures Releasing,50000000.0,PG,95.0,Adventure Comedy Family Fantasy
391.0,Speed ,350448000.0,Twentieth Century Fox,30000000.0,R,116.0,Action Adventure Thriller
392.0,Dinosaur ,349823000.0,Walt Disney Studios Motion Pictures,127500000.0,PG,82.0,Adventure Animation Family Thriller
393.0,Mary Poppins Returns ,349538000.0,Walt Disney Studios Motion Pictures,130000000.0,PG,130.0,Comedy Family Fantasy Musical
394.0,Deep Impact ,349465000.0,Paramount Pictures,,PG-13,120.0,Action Drama Romance Sci-Fi Thriller
395.0,The Lorax ,348840000.0,Universal Pictures,70000000.0,PG,86.0,Adventure Animation Drama Family Fantasy Musical
396.0,The Maze Runner ,348320000.0,Twentieth Century Fox,34000000.0,PG-13,113.0,Action Mystery Sci-Fi Thriller
397.0,Spirited Away ,347743000.0,Walt Disney Studios Motion Pictures,,PG,125.0,Adventure Animation Family Fantasy Mystery
398.0,The Smurfs 2 ,347545000.0,Sony Pictures Releasing,105000000.0,PG,105.0,Adventure Animation Comedy Family Fantasy
399.0,National Treasure ,347512000.0,Walt Disney Studios Motion Pictures,100000000.0,PG,131.0,Action Adventure Mystery Thriller
400.0,Rush Hour 2 ,347326000.0,New Line Cinema,90000000.0,PG-13,90.0,Action Comedy Crime Thriller
401.0,Trolls ,346864000.0,Twentieth Century Fox,125000000.0,PG,92.0,Adventure Animation Comedy Family Fantasy Musical
402.0,xXx: Return of Xander Cage ,346118000.0,Paramount Pictures,85000000.0,PG-13,107.0,Action Adventure Thriller
403.0,Pocahontas ,346080000.0,Walt Disney Studios Motion Pictures,,G,81.0,Adventure Animation Drama Family Musical Romance
404.0,How the Grinch Stole Christmas ,345141000.0,Universal Pictures,123000000.0,PG,104.0,Comedy Family Fantasy
405.0,Star Trek Beyond ,343472000.0,Paramount Pictures,185000000.0,PG-13,122.0,Action Adventure Sci-Fi Thriller
406.0,Alvin and the Chipmunks: Chipwrecked ,342695000.0,Twentieth Century Fox,75000000.0,G,87.0,Adventure Animation Comedy Family Fantasy Music
407.0,Wanted ,342463000.0,Universal Pictures,75000000.0,R,110.0,Action Crime Fantasy Thriller
408.0,The Flintstones ,341631000.0,Universal Pictures,46000000.0,PG,91.0,Comedy Family Fantasy
409.0,A Quiet Place ,340939000.0,Paramount Pictures,17000000.0,PG-13,90.0,Drama Horror Sci-Fi
410.0,Enchanted ,340488000.0,Walt Disney Studios Motion Pictures,85000000.0,PG,107.0,Animation Comedy Family Fantasy Musical Romance
411.0,Over the Hedge ,339796000.0,DreamWorks,,PG,83.0,Adventure Animation Comedy Family Fantasy
412.0,300: Rise of an Empire ,337580000.0,Warner Bros.,110000000.0,R,102.0,Action Drama
